Location Label,Latitude,Longitude,Contributer,Notes
NashvilleTN,36.1745,-86.7680,IT,IT = the instructional team
MemphisTN,35.1175,-89.9711,IT,
JacksonTN,35.6145,-88.8139,IT,
SanJoseCA,37.3387,-121.8853,IT,
LouisvilleKY,38.2527,-85.7585,IT,
BowlingGreenKY,36.9685,-86.4808,IT,
IndianapolisIN,39.7684,-86.1581,IT,
TerreHauteIN,39.4667,-87.4113,IT,
ChicagoIL,41.8781,-87.6297,IT,
SpringfieldIL,39.7876,-89.6501,IT,
CincinnatiOH,39.1034,-84.5120,IT,
ColumbusOH,39.9695,-83.0089,IT,
ClevelandOH,41.5053,-81.6976,IT,
LexingtonKY,38.0401,-84.5046,IT,
PaloAltoCA,37.4419,-122.1430,IT,
SanDiegoCA,32.7157,-117.1611,IT,
LosAngelesCA,34.0549,-118.2426,IT,
HoustonTX,29.7604,-95.3698,IT,
SanAntonioTX,29.4252,-98.4946,IT,
DenverCO,39.7392,-104.9903,IT,
ColoradoSpringsCO,38.8339,-104.8214,IT,
BostonMA,42.3601,-71.0589,IT,
NewHavenCT,41.2983,-72.9279,IT,
PortlandOR,45.515232,-122.6783853,IT,
EugeneOR,44.0520691,-123.0867536,IT,
BoiseID,43.6150186,-116.2023137,IT,
PendletonOR,45.672075,-118.7885967,IT,
TwinFallsID,42.5558381,-114.4700518,IT,
IdahoFallsID,43.4926606,-112.0407584,IT,
SaltLakeCityUT,40.7607793,-111.8910474,IT,
MedfordOR,42.3265152,-122.8755949,IT,
ReddingCA,40.5865396,-122.3916754,IT,
SacramentoCA,38.5815719,-121.4943996,IT,
SouthLakeTahoeCA,38.939926,-119.9771868,IT,
RenoNV,39.529919,-119.8142691,IT,
FresnoCA,36.7377981,-119.7871247,IT,
CedarCityUT,37.6774768,-113.0618931,IT,
WinnemuccaNV,40.9728274,-117.7357354,IT,
ElkoNV,40.8324211,-115.7631232,IT,
GrandJunctionCO,39.0638705,-108.5506486,IT,
AspenCO,39.1910983,-106.8175387,IT,
BakersfieldCA,35.3732921,-119.0187125,IT,
AlbuquerqueNM,35.0843859,-106.650422,IT,
FlagstaffAZ,35.1982836,-111.651302,IT,
GallupNM,35.5280783,-108.7425843,IT,
CheyenneWY,41.1399814,-104.8202462,IT,
CasperWY,42.848709,-106.2980824,IT,
BuffaloWY,44.3483072,-106.6989375,IT,
CodyWY,44.5263421,-109.0565308,IT,
FargoND,46.8771863,-96.7898034,IT,
BismarckND,46.8054947,-100.7876931,IT,
GlendiveMT,47.106401,-104.7107931,IT,
GreatFallsMT,47.5052849,-111.3007715,IT,
HelenaMT,46.5891452,-112.0391057,IT,
MinneapolisMN,44.977753,-93.2650108,IT,
DuluthMN,46.7866718,-92.1004852,IT,
DesMoinesIA,41.5868353,-93.6249593,IT,
RochesterMN,44.0121221,-92.4801989,IT,
DavenportIA,41.5236437,-90.5776367,IT,
